iter	Passed	Remaining
865	8810	1363
866	8822	1353
867	8833	1343
868	8841	1332
869	8850	1322
870	8858	1312
871	8866	1301
872	8875	1291
873	8882	1280
874	8890	1270
875	8900	1259
876	8909	1249
877	8918	1239
878	8926	1228
879	8936	1218
880	8949	1208
881	8961	1198
882	8974	1189
883	8982	1178
884	8989	1168
885	8998	1157
886	9006	1147
887	9014	1136
888	9021	1126
889	9030	1116
890	9038	1105
891	9046	1095
892	9055	1084
893	9063	1074
894	9074	1064
895	9084	1054
896	9094	1044
897	9101	1033
898	9112	1023
899	9119	1013
900	9128	1003
901	9135	992
902	9144	982
903	9152	971
904	9160	961
905	9169	951
906	9176	940
907	9183	930
908	9192	920
909	9199	909
910	9208	899
911	9215	889
912	9223	878
913	9230	868
914	9237	858
915	9246	847
916	9260	838
917	9267	827
918	9275	817
919	9283	807
920	9291	796
921	9298	786
922	9306	776
923	9314	766
924	9322	755
925	9329	745
926	9338	735
927	9347	725
928	9355	714
929	9364	704
930	9371	694
931	9378	684
932	9388	674
933	9400	664
934	9408	654
935	9416	643
936	9424	633
937	9432	623
938	9440	613
939	9448	603
940	9458	593
941	9467	582
942	9474	572
943	9483	562
944	9491	552
945	9499	542
946	9507	532
947	9515	521
948	9523	511
949	9534	501
950	9543	491
951	9551	481
952	9560	471
953	9568	461
954	9575	451
955	9583	441
956	9592	431
957	9600	420
958	9608	410
959	9617	400
960	9624	390
961	9633	380
962	9642	370
963	9650	360
964	9659	350
965	9668	340
966	9676	330
967	9685	320
968	9694	310
969	9702	300
970	9711	290
971	9719	279
972	9729	269
973	9737	259
974	9746	249
975	9755	239
976	9763	229
977	9772	219
978	9780	209
979	9787	199
980	9796	189
981	9808	179
982	9816	169
983	9826	159
984	9834	149
985	9843	139
986	9851	129
987	9860	119
988	9868	109
989	9878	99
990	9886	89
991	9896	79
992	9907	69
993	9922	59
994	9933	49
995	9945	39
996	9956	29
997	9964	19
998	9972	9
999	9980	0
